Gene_name,ID
ENTHD2,1524
ENTPD1,1525
ENTPD2,1526
ENTPD3,1527
ENTPD6,1528
ENY2,1529
EPB41,1530
EPB41L1,1531
EPB41L2,1532
EPB41L3,1533
EPB41L4B,1534
EPB41L5,1535
EPB42,1536
EPDR1,1537
EPHA4,1538
EPHA5,1539
EPHA6,1540
EPHA7,1541
EPHB1,1542
EPHB2,1543
EPHB6,1544
EPHX1,1545
EPHX4,1546
EPM2AIP1,1547
EPN1,1548
EPN2,1549
EPPK1,1550
EPRS,1551
EPS15,1552
EPS15L1,1553
EPS8,1554
EPS8L2,1555
ERAL1,1556
ERBB2IP,1557
ERBB4,1558
ERC1,1559
ERC2,1560
ERGIC1,1561
ERGIC2,1562
ERGIC3,1563
ERH,1564
ERI3,1565
ERICH5,1566
ERLEC1,1567
ERLIN1,1568
ERLIN2,1569
ERMN,1570
ERMP1,1571
ERP29,1572
ERP44,1573
ESD,1574
ESYT1,1575
ETF1,1576
ETFA,1577
ETFB,1578
ETFDH,1579
ETHE1,1580
ETNPPL,1581
EVI2A,1582
EVI5,1583
EVI5L,1584
EVL,1585
EWSR1,1586
EXD2,1587
EXOC1,1588
EXOC2,1589
EXOC3,1590
EXOC4,1591
EXOC5,1592
EXOC6,1593
EXOC6B,1594
EXOC7,1595
EXOC8,1596
EXOG,1597
EXOSC1,1598
EXOSC10,1599
EXOSC9,1600
EXTL2,1601
EZR,1602
F11R,1603
F13A1,1604
F2,1605
F8A3,1606
FABP3,1607
FABP5,1608
FABP7,1609
FADS2,1610
FAF2,1611
FAH,1612
FAHD1,1613
FAIM2,1614
FAM102A,1615
FAM102B,1616
FAM107A,1617
FAM107B,1618
FAM110B,1619
FAM114A1,1620
FAM114A2,1621
FAM117B,1622
FAM120A,1623
FAM120B,1624
FAM120C,1625
FAM124A,1626
FAM126B,1627
FAM127A,1628
FAM127B,1629
FAM129A,1630
FAM129B,1631
FAM131B,1632
FAM134A,1633
FAM134B,1634
FAM134C,1635
FAM136A,1636
FAM13A,1637
FAM13C,1638
FAM160A2,1639
FAM160B1,1640
FAM160B2,1641
FAM162A,1642
FAM168A,1643
FAM169A,1644
FAM171A2,1645
FAM171B,1646
FAM175B,1647
FAM177A1,1648
FAM188A,1649
FAM192A,1650
FAM195B,1651
FAM19A2,1652
FAM19A5,1653
FAM210A,1654
FAM210B,1655
FAM213A,1656
FAM213B,1657
FAM219A,1658
FAM21C,1659
FAM3C,1660
FAM47E-STBD1,1661
FAM49A,1662
FAM49B,1663
FAM50A,1664
FAM63A,1665
FAM63B,1666
FAM65A,1667
FAM73A,1668
FAM73B,1669
FAM81A,1670
FAM84A,1671
FAM84B,1672
FAM98A,1673
FAM98B,1674
FAM98C,1675
FAR1,1676
FARP1,1677
FARSA,1678
FARSB,1679
FASN,1680
FASTKD2,1681
FAU,1682
FAXC,1683
FBL,1684
FBLL1,1685
FBLN1,1686
